rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_rgr__alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score
1,0.07136769294738769,0.003865372495333311,0.009100341796875,0.0012821455468837626,60.0,{'rgr__alpha': 60},-0.2038987888247779,-0.24769826979659904,-0.1946953099965403,-0.4099969635517613,-0.4354858465143382,-0.29835503573680333,0.10344293940865858
2,0.07210965156555176,0.007027537306112695,0.009476900100708008,0.00120673882529155,50.0,{'rgr__alpha': 50},-0.206943639025517,-0.2468443646821386,-0.1933024703801492,-0.4081695930665437,-0.4389389364615441,-0.2988398007231785,0.10379530753196375
3,0.07535758018493652,0.004162590557981862,0.00874471664428711,0.0009448500194502977,80.0,{'rgr__alpha': 80},-0.2002937485570492,-0.2515830316534413,-0.19783300537255763,-0.41441536521966116,-0.4328868655943371,-0.29940240327940926,0.10341338736209542
4,0.07193984985351562,0.0042156206084723825,0.008127689361572266,0.0005561758583514926,40.0,{'rgr__alpha': 40},-0.2114027574895652,-0.24729157955796605,-0.19215191987398042,-0.4069037602292213,-0.44492376632444797,-0.30053475669503615,0.10458368852360388
5,0.07610697746276855,0.006895144091481849,0.009472322463989259,0.001444946615266594,100.0,{'rgr__alpha': 100},-0.19865179826333343,-0.25696650311975705,-0.2011714643580309,-0.4192221107929536,-0.4334452001337477,-0.3018914153335645,0.10382106259037899
6,0.0762521743774414,0.0014855297721048572,0.008991765975952148,0.0013358042515175712,30.0,{'rgr__alpha': 30},-0.2182771502937182,-0.24993733644296356,-0.19146600944641126,-0.4067654948556717,-0.45521233154133794,-0.3043316645160205,0.10617009345282215
7,0.0721165657043457,0.003545814092972802,0.008373785018920898,0.0005409629483974947,25.0,{'rgr__alpha': 25},-0.2232679987308943,-0.25261612877643,-0.19144528057306767,-0.40750050179092967,-0.46303653568330805,-0.30757328911092596,0.10748735245960968
8,0.07477264404296875,0.004906555637723342,0.008479595184326172,0.0006273428657432704,20.0,{'rgr__alpha': 20},-0.23003213919055923,-0.25675359058773345,-0.1918140056308767,-0.40921421996915247,-0.4737434364922881,-0.312311478374122,0.10938613067457542
9,0.07567415237426758,0.005788316255691692,0.008799028396606446,0.0013537309202168708,15.0,{'rgr__alpha': 15},-0.23980535463697464,-0.26321024266751764,-0.19288311686867465,-0.4126474982495147,-0.4889251800818381,-0.31949427850090395,0.11218997841715515
10,0.0740854263305664,0.004297228488522018,0.008908414840698242,0.001055407635866748,10.0,{'rgr__alpha': 10},-0.2555742084829948,-0.2739386880523521,-0.19548786189708767,-0.41954217393793186,-0.5117051208843583,-0.33124961065094494,0.11644941277007498
11,0.0726363182067871,0.006491377795813972,0.008205032348632813,0.0007094142253088739,5.0,{'rgr__alpha': 5},-0.2877002330190719,-0.29534602427439316,-0.20315702428747962,-0.4354950345523516,-0.5495696945303359,-0.35425360213272644,0.12286429570637901
12,0.07494874000549316,0.0025496000496172165,0.00989084243774414,0.001236747943205503,2.0,{'rgr__alpha': 2},-0.3366144276063569,-0.3264210257830018,-0.21972212502189964,-0.4600090634682158,-0.5890511788630064,-0.3863635641484961,0.12676228339319148
13,0.0721200942993164,0.0043766814016851265,0.008516168594360352,0.000914648443791071,1.0,{'rgr__alpha': 1},-0.37165400617554367,-0.3484490939682361,-0.23459006690997095,-0.47721304376047646,-0.6092153063122485,-0.4082243034252951,0.12666186476707847
14,0.07808752059936523,0.003792967673888743,0.009222841262817383,0.0014573671163507535,0.05,{'rgr__alpha': 0.05},-0.43642100613504603,-0.3916641049286143,-0.2671568614699006,-0.5099139323650346,-0.6381527346377172,-0.44866172790726255,0.12328929800905143
15,0.07439403533935547,0.0042248091938668995,0.008552169799804688,0.0012396362445304945,0.01,{'rgr__alpha': 0.01},-0.44069196395710974,-0.3947265169345395,-0.26947797155408826,-0.5121607565858095,-0.6398685149578495,-0.4513851447978793,0.12299139784590951
15,0.08417892456054688,0.015516882156045528,0.009665441513061524,0.0009316246587258426,0.01,{'rgr__alpha': 0.01},-0.44069196395710974,-0.3947265169345395,-0.26947797155408826,-0.5121607565858095,-0.6398685149578495,-0.4513851447978793,0.12299139784590951
